;Název děkanátu;Název farnosti;Rok;Osob celkem;Průměrný věk;Muž;Žena;Neuvedeno;
;Bílovec;Klimkovice;2009;218;51,17;84;134;;
;Bílovec;Klimkovice;2014;172;46,38;63;109;;
;Bílovec;Klimkovice;2019;122;46,55;50;72;;
;Bílovec;Klimkovice;2024;88;45,50;35;53;0;
9;Bílovec;Kujavy;1999;39;38,51;12;27;;
;Bílovec;Kujavy;2004;31;40,06;12;19;;
;Bílovec;Kujavy;2009;33;35,64;12;21;;
;Bílovec;Kujavy;2014;22;41,73;8;14;;
;Bílovec;Kujavy;2019;27;36,63;11;16;;
;Bílovec;Kujavy;2024;22;49,86;7;15;0;
10;Bílovec;Lubojaty;1999;70;41,16;19;51;;
;Bílovec;Lubojaty;2004;60;44,63;16;44;;
;Bílovec;Lubojaty;2009;71;41,46;24;47;;
;Bílovec;Lubojaty;2014;56;48,61;22;34;;
;Bílovec;Lubojaty;2019;61;46,15;19;42;;
;Bílovec;Lubojaty;2024;68;42,41;31;37;0;
11;Bílovec;Mankovice;1999;49;35,29;19;30;;
;Bílovec;Mankovice;2004;60;39,73;23;37;;
;Bílovec;Mankovice;2009;63;38,27;29;34;;
;Bílovec;Mankovice;2014;60;41,88;23;37;;
;Bílovec;Mankovice;2019;44;53,34;22;22;;
;Bílovec;Mankovice;2024;30;63,93;14;16;0;
12;Bílovec;Odry;1999;271;43,04;117;154;;
;Bílovec;Odry;2004;208;47,52;79;129;;
;Bílovec;Odry;2009;211;43,29;80;131;;
;Bílovec;Odry;2014;170;42,62;64;106;;
;Bílovec;Odry;2019;148;38,53;60;88;;
;Bílovec;Odry;2024;120;41,99;50;70;0;
13;Bílovec;Olbramice;1999;154;45,75;50;104;;
;Bílovec;Olbramice;2004;88;43,20;25;63;;
;Bílovec;Olbramice;2009;106;42,99;44;62;;
;Bílovec;Olbramice;2014;78;46,64;28;50;;
;Bílovec;Olbramice;2019;102;46,51;42;60;;
;Bílovec;Olbramice;2024;77;47,65;29;48;0;
14;Bílovec;Pohoř;1999;20;59,95;6;14;;
;Bílovec;Pohoř;2004;18;62,83;5;13;;
;Bílovec;Pohoř;2009;13;51,54;6;7;;
;Bílovec;Pohoř;2014;22;51,64;9;13;;
;Bílovec;Pohoř;2019;10;70,40;4;6;;
;Bílovec;Pohoř;2024;8;72,75;2;6;0;
15;Bílovec;Pustějov;1999;55;62,96;13;42;;
;Bílovec;Pustějov;2004;57;60,40;19;38;;
;Bílovec;Pustějov;2009;47;62,53;12;35;;
;Bílovec;Pustějov;2014;45;62,64;11;34;;
;Bílovec;Pustějov;2019;44;50,55;16;28;;
;Bílovec;Pustějov;2024;48;49,42;20;25;3;
16;Bílovec;Slatina u Bílovce;1999;288;43,83;104;184;;
;Bílovec;Slatina u Bílovce;2004;311;45,11;90;221;;
;Bílovec;Slatina u Bílovce;2009;117;48,17;43;74;;
;Bílovec;Slatina u Bílovce;2014;102;53,86;37;65;;
;Bílovec;Slatina u Bílovce;2019;162;50,01;58;104;;
;Bílovec;Slatina u Bílovce;2024;128;43,39;42;86;0;
17;Bílovec;Spálov;1999;234;43,25;81;153;;
;Bílovec;Spálov;2004;224;45,41;85;139;;
;Bílovec;Spálov;2009;256;44,34;101;155;;
;Bílovec;Spálov;2014;194;43,13;73;121;;
;Bílovec;Spálov;2019;106;48,68;47;59;;
;Bílovec;Spálov;2024;107;39,02;50;56;1;
18;Bílovec;Studénka;1999;134;43,22;45;89;;
;Bílovec;Studénka;2004;115;49,45;42;73;;
;Bílovec;Studénka;2009;111;47,66;37;74;;
;Bílovec;Studénka;2014;99;47,23;35;64;;
;Bílovec;Studénka;2019;67;50,49;25;42;;
;Bílovec;Studénka;2024;74;49,92;30;44;0;
19;Bílovec;Studénka-Butovice;1999;116;49,17;41;75;;
;Bílovec;Studénka-Butovice;2004;152;45,78;58;94;;
;Bílovec;Studénka-Butovice;2009;124;46,56;46;78;;
;Bílovec;Studénka-Butovice;2014;90;49,99;37;53;;
;Bílovec;Studénka-Butovice;2019;90;50,77;36;54;;
;Bílovec;Studénka-Butovice;2024;52;53,25;21;31;0;
20;Bílovec;Suchdol nad Odrou;1999;95;42,61;25;70;;
;Bílovec;Suchdol nad Odrou;2004;115;37,29;39;76;;
;Bílovec;Suchdol nad Odrou;2009;89;42,76;27;62;;
;Bílovec;Suchdol nad Odrou;2014;77;44,83;28;49;;
;Bílovec;Suchdol nad Odrou;2019;67;42,58;26;41;;
;Bílovec;Suchdol nad Odrou;2024;48;42,98;20;28;0;
21;Bílovec;Velké Albrechtice;1999;19;54,95;9;10;;
;Bílovec;Velké Albrechtice;2004;56;41,41;26;30;;
;Bílovec;Velké Albrechtice;2009;63;41,32;28;35;;
;Bílovec;Velké Albrechtice;2014;35;50,11;14;21;;
;Bílovec;Velké Albrechtice;2019;28;50,54;13;15;;
;Bílovec;Velké Albrechtice;2024;28;56,32;16;12;0;
22;Bílovec;Veselí u Oder;1999;21;39,00;6;15;;
;Bílovec;Veselí u Oder;2004;25;34,88;7;18;;
;Bílovec;Veselí u Oder;2009;30;35,27;12;18;;
;Bílovec;Veselí u Oder;2014;40;37,65;21;19;;
;Bílovec;Veselí u Oder;2019;30;33,93;13;17;;
;Bílovec;Veselí u Oder;2024;32;42,00;13;19;0;
23;Bílovec;Véska;1999;68;41,25;35;33;;
;Bílovec;Véska;2004;55;37,62;24;31;;
;Bílovec;Véska;2009;52;43,25;24;28;;
;Bílovec;Véska;2014;55;49,93;24;31;;
;Bílovec;Véska;2019;30;40,90;15;15;;
;Bílovec;Véska;2024;26;45,96;13;13;0;
24;Bílovec;Vlkovice;1999;32;48,19;9;23;;
;Bílovec;Vlkovice;2004;32;54,03;9;23;;
;Bílovec;Vlkovice;2009;33;49,33;10;23;;
;Bílovec;Vlkovice;2014;30;51,63;9;21;;
;Bílovec;Vlkovice;2019;18;57,11;7;11;;
;Bílovec;Vlkovice;2024;11;52,45;5;6;0;
25;Bílovec;Vražné;1999;80;37,84;29;51;;
;Bílovec;Vražné;2004;45;41,38;20;25;;
;Bílovec;Vražné;2009;37;46,57;16;21;;
;Bílovec;Vražné;2014;34;49,35;14;20;;
;Bílovec;Vražné;2019;41;41,80;18;23;;
;Bílovec;Vražné;2024;32;39,91;13;19;0;
26;Bílovec;Těškovice;1999;;;;;;
;Bílovec;Těškovice;2004;168;43,55;69;99;;
;Bílovec;Těškovice;2009;119;52,82;35;84;;
;Bílovec;Těškovice;2014;112;56,04;28;84;;
;Bílovec;Těškovice;2019;176;45,43;54;122;;
;Bílovec;Těškovice;2024;117;46,38;26;91;0;
27;Bruntál;Andělská Hora ve Slezsku;1999;61;38,00;25;36;;
;Bruntál;Andělská Hora ve Slezsku;2004;62;37,69;20;42;;
;Bruntál;Andělská Hora ve Slezsku;2009;47;40,70;15;32;;
;Bruntál;Andělská Hora ve Slezsku;2014;34;55,97;10;24;;
;Bruntál;Andělská Hora ve Slezsku;2019;53;49,13;19;34;;
;Bruntál;Andělská Hora ve Slezsku;2024;29;51,66;7;22;0;
28;Bruntál;Bílčice;1999;12;45,50;4;8;;
;Bruntál;Bílčice;2004;3;60,33;2;1;;
;Bruntál;Bílčice;2009;17;42,53;6;11;;
;Bruntál;Bílčice;2014;5;65,00;0;5;;
;Bruntál;Bílčice;2019;2;40,00;0;2;;
;Bruntál;Bílčice;2024;0;0,00;0;0;0;
29;Bruntál;Bruntál;1999;345;48,14;120;225;;
;Bruntál;Bruntál;2004;273;52,85;106;167;;
;Bruntál;Bruntál;2009;255;54,53;93;162;;
;Bruntál;Bruntál;2014;238;52,33;82;156;;
;Bruntál;Bruntál;2019;184;56,92;66;118;;
;Bruntál;Bruntál;2024;142;59,11;55;87;0;
30;Bruntál;Břidličná;1999;85;52,60;25;60;;
;Bruntál;Břidličná;2004;79;51,06;26;53;;
;Bruntál;Břidličná;2009;95;41,38;36;59;;
;Bruntál;Břidličná;2014;88;59,50;16;72;;
;Bruntál;Břidličná;2019;39;64,56;12;27;;
;Bruntál;Břidličná;2024;28;65,39;4;24;0;
31;Bruntál;Dětřichov nad Bystřicí;1999;17;43,12;1;16;;
;Bruntál;Dětřichov nad Bystřicí;2004;7;51,86;0;7;;
;Bruntál;Dětřichov nad Bystřicí;2009;;;;;;
;Bruntál;Dětřichov nad Bystřicí;2014;;;;;;
;Bruntál;Dětřichov nad Bystřicí;2019;2;37,50;1;1;;
;Bruntál;Dětřichov nad Bystřicí;2024;0;0,00;0;0;0;
32;Bruntál;Dolní Moravice;1999;15;51,20;6;9;;
;Bruntál;Dolní Moravice;2004;11;53,82;3;8;;
;Bruntál;Dolní Moravice;2009;7;71,43;3;4;;
;Bruntál;Dolní Moravice;2014;8;44,38;5;3;;
;Bruntál;Dolní Moravice;2019;2;37,50;1;1;;
;Bruntál;Dolní Moravice;2024;7;43,57;2;5;0;
33;Bruntál;Dvorce;1999;47;43,15;18;29;;
;Bruntál;Dvorce;2004;33;59,76;9;24;;
;Bruntál;Dvorce;2009;39;48,03;13;26;;
;Bruntál;Dvorce;2014;43;47,33;16;27;;
;Bruntál;Dvorce;2019;27;49,52;11;16;;
;Bruntál;Dvorce;2024;22;51,73;11;11;0;
34;Bruntál;Horní Benešov;1999;48;60,08;10;38;;
;Bruntál;Horní Benešov;2004;73;54,38;18;55;;
;Bruntál;Horní Benešov;2009;49;55,61;9;40;;
;Bruntál;Horní Benešov;2014;50;63,04;13;37;;
;Bruntál;Horní Benešov;2019;49;52,45;19;30;;
;Bruntál;Horní Benešov;2024;39;60,67;16;23;0;
35;Bruntál;Horní Město;1999;30;57,93;16;14;;
;Bruntál;Horní Město;2004;32;61,22;16;16;;
;Bruntál;Horní Město;2009;20;66,65;8;12;;
;Bruntál;Horní Město;2014;25;44,12;9;16;;
;Bruntál;Horní Město;2019;10;43,20;4;6;;
;Bruntál;Horní Město;2024;9;34,33;5;4;0;
36;Bruntál;Huzová;1999;30;46,37;12;18;;
;Bruntál;Huzová;2004;23;45,22;7;16;;
;Bruntál;Huzová;2009;14;54,57;4;10;;
;Bruntál;Huzová;2014;18;53,06;4;14;;
;Bruntál;Huzová;2019;22;47,91;6;16;;
;Bruntál;Huzová;2024;17;51,47;8;9;0;
37;Bruntál;Jelení u Bruntálu;1999;;;;;;
;Bruntál;Jelení u Bruntálu;2004;;;;;;
;Bruntál;Jelení u Bruntálu;2009;;;;;;
;Bruntál;Jelení u Bruntálu;2014;8;45,25;1;7;;
;Bruntál;Jelení u Bruntálu;2019;2;37,50;0;2;;
;Bruntál;Jelení u Bruntálu;2024;7;45,71;2;5;0;
38;Bruntál;Křišťanovice;1999;14;37,43;5;9;;
;Bruntál;Křišťanovice;2004;15;38,07;3;12;;
;Bruntál;Křišťanovice;2009;19;43,63;6;13;;
;Bruntál;Křišťanovice;2014;15;34,60;4;11;;
;Bruntál;Křišťanovice;2019;11;42,18;3;8;;
;Bruntál;Křišťanovice;2024;0;0,00;0;0;0;
39;Bruntál;Leskovec nad Moravicí;1999;28;61,75;7;21;;
;Bruntál;Leskovec nad Moravicí;2004;34;55,85;12;22;;
;Bruntál;Leskovec nad Moravicí;2009;29;46,76;13;16;;
;Bruntál;Leskovec nad Moravicí;2014;20;62,30;2;18;;
;Bruntál;Leskovec nad Moravicí;2019;8;72,38;2;6;;
;Bruntál;Leskovec nad Moravicí;2024;7;63,00;1;6;0;
40;Bruntál;Lomnice u Rýmařova;1999;35;41,66;10;25;;
;Bruntál;Lomnice u Rýmařova;2004;25;52,88;4;21;;
;Bruntál;Lomnice u Rýmařova;2009;24;46,46;3;21;;
;Bruntál;Lomnice u Rýmařova;2014;24;57,08;9;15;;
;Bruntál;Lomnice u Rýmařova;2019;23;49,43;9;14;;
;Bruntál;Lomnice u Rýmařova;2024;25;50,84;13;12;0;
41;Bruntál;Malá Morávka;1999;80;45,64;36;44;;
;Bruntál;Malá Morávka;2004;25;46,44;5;20;;
;Bruntál;Malá Morávka;2009;14;53,79;5;9;;
;Bruntál;Malá Morávka;2014;33;45,27;12;21;;
;Bruntál;Malá Morávka;2019;32;53,50;11;21;;
;Bruntál;Malá Morávka;2024;14;56,79;7;7;0;
42;Bruntál;Mezina;1999;14;47,93;1;13;;
;Bruntál;Mezina;2004;8;47,38;1;7;;
;Bruntál;Mezina;2009;;;;;;
;Bruntál;Mezina;2014;;;;;;
;Bruntál;Mezina;2019;2;42,00;0;2;;
;Bruntál;Mezina;2024;0;0,00;0;0;0;
43;Bruntál;Moravský Beroun;1999;93;46,18;28;65;;
;Bruntál;Moravský Beroun;2004;72;51,67;19;53;;
;Bruntál;Moravský Beroun;2009;44;61,89;14;30;;
;Bruntál;Moravský Beroun;2014;109;60,84;35;74;;
;Bruntál;Moravský Beroun;2019;56;53,34;27;29;;
;Bruntál;Moravský Beroun;2024;39;57,62;13;26;0;
44;Bruntál;Moravský Kočov;1999;8;62,13;3;5;;
;Bruntál;Moravský Kočov;2004;;;;;;
;Bruntál;Moravský Kočov;2009;;;;;;
;Bruntál;Moravský Kočov;2014;;;;;;
;Bruntál;Moravský Kočov;2019;2;37,50;0;2;;
;Bruntál;Moravský Kočov;2024;0;0,00;0;0;0;
45;Bruntál;Nové Valteřice;1999;10;67,40;2;8;;
;Bruntál;Nové Valteřice;2004;7;77,00;1;6;;
;Bruntál;Nové Valteřice;2009;;;;;;
;Bruntál;Nové Valteřice;2014;;;;;;
;Bruntál;Nové Valteřice;2019;2;37,50;0;2;;
;Bruntál;Nové Valteřice;2024;0;0,00;0;0;0;
46;Bruntál;Razová;1999;29;47,79;12;17;;
;Bruntál;Razová;2004;22;44,77;10;12;;
;Bruntál;Razová;2009;23;47,48;10;13;;
;Bruntál;Razová;2014;26;46,92;13;13;;
;Bruntál;Razová;2019;19;47,32;6;13;;
;Bruntál;Razová;2024;9;57,22;3;6;0;
47;Bruntál;Rešov;1999;8;71,00;1;7;;
;Bruntál;Rešov;2004;8;65,88;3;5;;
;Bruntál;Rešov;2009;7;71,14;2;5;;
;Bruntál;Rešov;2014;20;56,65;9;11;;
;Bruntál;Rešov;2019;3;63,67;1;2;;
;Bruntál;Rešov;2024;0;0,00;0;0;0;
48;Bruntál;Roudno;1999;18;59,89;6;12;;
;Bruntál;Roudno;2004;17;54,18;4;13;;
;Bruntál;Roudno;2009;20;62,85;4;16;;
;Bruntál;Roudno;2014;14;51,86;2;12;;
;Bruntál;Roudno;2019;18;45,78;7;11;;
;Bruntál;Roudno;2024;13;37,31;6;7;0;
49;Bruntál;Ruda u Rýmařova;1999;13;64,62;2;11;;
;Bruntál;Ruda u Rýmařova;2004;10;62,60;2;8;;
;Bruntál;Ruda u Rýmařova;2009;11;48,55;3;8;;
;Bruntál;Ruda u Rýmařova;2014;5;62,80;1;4;;
;Bruntál;Ruda u Rýmařova;2019;4;68,75;1;3;;
;Bruntál;Ruda u Rýmařova;2024;0;0,00;0;0;0;
50;Bruntál;Rudná pod Pradědem;1999;14;51,50;4;10;;
;Bruntál;Rudná pod Pradědem;2004;9;53,22;3;6;;
;Bruntál;Rudná pod Pradědem;2009;12;48,92;3;9;;
;Bruntál;Rudná pod Pradědem;2014;52;28,46;23;29;;
;Bruntál;Rudná pod Pradědem;2019;6;68,00;2;4;;
;Bruntál;Rudná pod Pradědem;2024;3;65,67;2;1;0;
51;Bruntál;Rýmařov;1999;163;54,18;51;112;;
;Bruntál;Rýmařov;2004;154;56,53;43;111;;
;Bruntál;Rýmařov;2009;110;59,59;29;81;;
;Bruntál;Rýmařov;2014;102;57,49;41;61;;
;Bruntál;Rýmařov;2019;71;63,38;25;46;;
;Bruntál;Rýmařov;2024;48;66,21;24;24;0;
52;Bruntál;Ryžoviště;1999;36;52,31;14;22;;
;Bruntál;Ryžoviště;2004;13;56,08;2;11;;
;Bruntál;Ryžoviště;2009;17;52,35;3;14;;
;Bruntál;Ryžoviště;2014;11;72,55;2;9;;
;Bruntál;Ryžoviště;2019;10;73,80;1;9;;
;Bruntál;Ryžoviště;2024;10;52,50;3;7;0;
53;Bruntál;Stará Ves u Rýmařova;1999;37;51,43;8;29;;
;Bruntál;Stará Ves u Rýmařova;2004;21;63,57;5;16;;
;Bruntál;Stará Ves u Rýmařova;2009;28;60,57;4;24;;
;Bruntál;Stará Ves u Rýmařova;2014;23;65,13;7;16;;
;Bruntál;Stará Ves u Rýmařova;2019;26;45,69;12;14;;
;Bruntál;Stará Ves u Rýmařova;2024;7;77,14;3;4;0;
54;Bruntál;Václavov u Bruntálu;1999;8;61,38;1;7;;
;Bruntál;Václavov u Bruntálu;2004;10;59,10;1;9;;
;Bruntál;Václavov u Bruntálu;2009;8;49,63;2;6;;
;Bruntál;Václavov u Bruntálu;2014;2;66,50;0;2;;
;Bruntál;Václavov u Bruntálu;2019;2;71,00;0;2;;
;Bruntál;Václavov u Bruntálu;2024;8;52,38;2;6;0;
55;Bruntál;Velká Štáhle;1999;24;60,58;6;18;;
;Bruntál;Velká Štáhle;2004;26;54,73;8;18;;
;Bruntál;Velká Štáhle;2009;21;54,14;9;12;;
;Bruntál;Velká Štáhle;2014;18;61,72;6;12;;
;Bruntál;Velká Štáhle;2019;8;76,13;1;7;;
;Bruntál;Velká Štáhle;2024;8;79,38;1;7;0;
56;Bruntál;Vrbno pod Pradědem;1999;116;47,53;39;77;;
;Bruntál;Vrbno pod Pradědem;2004;114;42,04;36;78;;
;Bruntál;Vrbno pod Pradědem;2009;64;47,66;15;49;;
;Bruntál;Vrbno pod Pradědem;2014;75;48,13;25;50;;
;Bruntál;Vrbno pod Pradědem;2019;37;49,43;12;25;;
;Bruntál;Vrbno pod Pradědem;2024;51;50,43;21;30;0;
57;Bruntál;Vrbno pod Pradědem-Mnichov;1999;40;61,70;15;25;;
;Bruntál;Vrbno pod Pradědem-Mnichov;2004;20;49,75;6;14;;
;Bruntál;Vrbno pod Pradědem-Mnichov;2009;9;62,11;4;5;;
;Bruntál;Vrbno pod Pradědem-Mnichov;2014;5;65,60;2;3;;
;Bruntál;Vrbno pod Pradědem-Mnichov;2019;12;64,42;5;7;;
;Bruntál;Vrbno pod Pradědem-Mnichov;2024;6;59,33;5;1;0;
58;Bruntál;Karlovice;1999;;;;;;
;Bruntál;Karlovice;2004;37;47,62;15;22;;
;Bruntál;Karlovice;2009;30;42,50;13;17;;
;Bruntál;Karlovice;2014;19;60,58;8;11;;
;Bruntál;Karlovice;2019;34;37,15;7;27;;
;Bruntál;Karlovice;2024;20;40,20;10;10;0;
59;Bruntál;Svobodné Heřmanice;1999;;;;;;
;Bruntál;Svobodné Heřmanice;2004;29;43,07;11;18;;
;Bruntál;Svobodné Heřmanice;2009;19;40,95;5;14;;
;Bruntál;Svobodné Heřmanice;2014;27;53,56;8;19;;
;Bruntál;Svobodné Heřmanice;2019;19;57,79;5;14;;
;Bruntál;Svobodné Heřmanice;2024;14;54,21;6;8;0;
60;Frýdek;Bruzovice;1999;179;48,75;71;108;;
;Frýdek;Bruzovice;2004;165;48,42;73;92;;
;Frýdek;Bruzovice;2009;212;47,06;96;116;;
;Frýdek;Bruzovice;2014;196;42,76;81;115;;
;Frýdek;Bruzovice;2019;173;40,34;79;94;;
;Frýdek;Bruzovice;2024;123;41,24;54;69;0;
61;Frýdek;Dobrá;1999;364;44,52;126;238;;
;Frýdek;Dobrá;2004;355;46,25;129;226;;
;Frýdek;Dobrá;2009;359;47,62;140;219;;
;Frýdek;Dobrá;2014;288;48,18;109;179;;
;Frýdek;Dobrá;2019;298;47,26;115;183;;
;Frýdek;Dobrá;2024;263;45,70;109;154;0;
62;Frýdek;Dobratice;1999;217;38,84;86;131;;
;Frýdek;Dobratice;2004;190;42,90;62;128;;
;Frýdek;Dobratice;2009;205;41,55;78;127;;
;Frýdek;Dobratice;2014;117;49,46;45;72;;
;Frýdek;Dobratice;2019;99;50,82;35;64;;
;Frýdek;Dobratice;2024;37;52,32;15;21;1;
63;Frýdek;Domaslavice;1999;349;43,48;147;202;;
;Frýdek;Domaslavice;2004;341;44,22;133;208;;
;Frýdek;Domaslavice;2009;215;42,93;87;128;;
;Frýdek;Domaslavice;2014;282;42,65;123;159;;
;Frýdek;Domaslavice;2019;282;43,17;126;156;;
;Frýdek;Domaslavice;2024;226;47,58;114;112;0;
64;Frýdek;Frýdek;1999;1179;42,93;463;716;;
;Frýdek;Frýdek;2004;1345;44,08;503;842;;
;Frýdek;Frýdek;2009;1243;45,72;492;751;;
;Frýdek;Frýdek;2014;1021;46,86;422;599;;
;Frýdek;Frýdek;2019;851;45,48;365;486;;
;Frýdek;Frýdek;2024;648;47,17;283;365;0;
65;Frýdek;Hnojník;1999;568;40,50;232;336;;
;Frýdek;Hnojník;2004;506;42,44;208;298;;
;Frýdek;Hnojník;2009;444;44,60;174;270;;
;Frýdek;Hnojník;2014;486;46,76;203;283;;
;Frýdek;Hnojník;2019;418;45,96;191;227;;
;Frýdek;Hnojník;2024;261;49,07;112;149;0;
66;Frýdek;Horní Lomná;1999;242;34,64;109;133;;
;Frýdek;Horní Lomná;2004;235;33,70;107;128;;
;Frýdek;Horní Lomná;2009;233;36,97;101;132;;
;Frýdek;Horní Lomná;2014;214;42,80;96;118;;
;Frýdek;Horní Lomná;2019;208;43,50;93;115;;
;Frýdek;Horní Lomná;2024;132;46,62;63;69;0;
67;Frýdek;Jablunkov;1999;3627;39,65;1418;2209;;
;Frýdek;Jablunkov;2004;3479;40,45;1385;2094;;
;Frýdek;Jablunkov;2009;3280;42,38;1255;2025;;
;Frýdek;Jablunkov;2014;2771;44,30;1106;1665;;
;Frýdek;Jablunkov;2019;2707;44,06;1087;1620;;
;Frýdek;Jablunkov;2024;2391;44,44;972;1394;25;
68;Frýdek;Janovice;1999;111;44,32;36;75;;
;Frýdek;Janovice;2004;112;55,18;38;74;;
;Frýdek;Janovice;2009;116;49,34;49;67;;
;Frýdek;Janovice;2014;84;47,50;38;46;;
;Frýdek;Janovice;2019;100;45,40;48;52;;
;Frýdek;Janovice;2024;51;54,22;20;30;1;
69;Frýdek;Morávka;1999;447;46,02;164;283;;
;Frýdek;Morávka;2004;440;45,82;163;277;;
;Frýdek;Morávka;2009;420;45,98;164;256;;
;Frýdek;Morávka;2014;374;47,72;145;229;;
;Frýdek;Morávka;2019;287;47,06;124;163;;
;Frýdek;Morávka;2024;234;48,78;111;123;0;
70;Frýdek;Mosty u Jablunkova;1999;642;42,93;238;404;;
;Frýdek;Mosty u Jablunkova;2004;550;44,55;203;347;;
;Frýdek;Mosty u Jablunkova;2009;559;45,60;220;339;;
;Frýdek;Mosty u Jablunkova;2014;502;46,82;203;299;;
;Frýdek;Mosty u Jablunkova;2019;481;44,02;212;269;;
;Frýdek;Mosty u Jablunkova;2024;759;43,61;311;446;2;
71;Frýdek;Ropice;1999;165;40,16;62;103;;
;Frýdek;Ropice;2004;137;43,50;48;89;;
;Frýdek;Ropice;2009;103;47,17;31;72;;
;Frýdek;Ropice;2014;110;44,36;38;72;;
;Frýdek;Ropice;2019;111;47,37;39;72;;
;Frýdek;Ropice;2024;109;45,04;47;61;1;
72;Frýdek;Sedliště;1999;140;47,66;51;89;;
;Frýdek;Sedliště;2004;154;42,25;62;92;;
;Frýdek;Sedliště;2009;123;38,56;46;77;;
;Frýdek;Sedliště;2014;88;44,44;41;47;;
;Frýdek;Sedliště;2019;84;48,08;37;47;;
;Frýdek;Sedliště;2024;52;57,37;17;35;0;
73;Frýdek;Skalice u Frýdku-Místku;1999;206;45,83;73;133;;
;Frýdek;Skalice u Frýdku-Místku;2004;269;43,87;99;170;;
;Frýdek;Skalice u Frýdku-Místku;2009;257;43,46;105;152;;
;Frýdek;Skalice u Frýdku-Místku;2014;217;44,79;90;127;;
;Frýdek;Skalice u Frýdku-Místku;2019;178;46,31;79;99;;
;Frýdek;Skalice u Frýdku-Místku;2024;122;53,22;50;72;0;
74;Frýdek;Střítež u Č.Těšína;1999;248;39,94;100;148;;
;Frýdek;Střítež u Č.Těšína;2004;245;38,22;92;153;;
;Frýdek;Střítež u Č.Těšína;2009;259;37,15;112;147;;
;Frýdek;Střítež u Č.Těšína;2014;201;39,95;85;116;;
;Frýdek;Střítež u Č.Těšína;2019;151;37,56;60;91;;
;Frýdek;Střítež u Č.Těšína;2024;216;41,44;91;123;2;
75;Frýdek;Šenov u Ostravy;1999;540;44,54;203;337;;
;Frýdek;Šenov u Ostravy;2004;577;45,05;230;347;;
;Frýdek;Šenov u Ostravy;2009;467;46,19;182;285;;
;Frýdek;Šenov u Ostravy;2014;384;48,38;152;232;;
;Frýdek;Šenov u Ostravy;2019;337;49,51;134;203;;
;Frýdek;Šenov u Ostravy;2024;220;50,08;90;130;0;
76;Frýdek;Třinec;1999;1702;41,68;652;1050;;
;Frýdek;Třinec;2004;1578;42,48;626;952;;
;Frýdek;Třinec;2009;1639;43,31;649;990;;
;Frýdek;Třinec;2014;1117;46,96;423;694;;
;Frýdek;Třinec;2019;1006;47,20;424;582;;
;Frýdek;Třinec;2024;916;47,32;405;510;1;
77;Frýdek;Vendryně;1999;673;38,84;258;415;;
;Frýdek;Vendryně;2004;674;41,65;282;392;;
;Frýdek;Vendryně;2009;655;40,67;278;377;;
